Fid,track_name,size_bytes,rating_count_tot,rating_count_ver,user_rating,user_rating_ver,ver,cont_rating,prime_genre,sup_devices.num,ipadSc_urls.num,lang.num,vpp_lic,Development_Duration,Label
172.217.11.14-10.42.0.151-443-35230-6,PAC-MAN Premium,100788224,21292,26,4,4.5,6.3.5,4+,Games,38,5,10,1,1894,0
10.42.0.42-72.21.206.53-45580-443-6,Evernote - stay organized,158578688,161065,26,4,3.5,8.2.2,4+,Productivity,37,5,23,1,192,1
209.10.120.26-10.42.0.211-80-43093-6,"WeatherBug - Local Weather, Radar, Maps, Alerts",100524032,188583,2822,3.5,4.5,5.0.0,4+,Weather,37,5,3,1,96,1
172.217.10.42-10.42.0.42-443-34080-6,"eBay: Best App to Buy, Sell, Save! Online Shopping",128512000,262241,649,4,4.5,5.10.0,12+,Shopping,37,5,9,1,96,1
183.79.17.108-10.42.0.151-443-60437-6,Bible,92774400,985920,5320,4.5,5,7.5.1,4+,Reference,37,5,45,1,96,0
172.217.12.195-10.42.0.211-443-49630-6,Shanghai Mahjong,10485713,8253,5516,4,4,1.8,4+,Games,47,5,1,1,298,1
10.42.0.151-119.146.74.34-42472-80-6,PayPal - Send and request money safely,227795968,119487,879,4,4.5,6.12.0,4+,Finance,37,0,19,1,120,0
172.217.6.237-10.42.0.151-443-54754-6,Pandora - Music & Radio,130242560,1126879,3594,4,4.5,8.4.1,12+,Music,37,4,1,1,773,1
163.177.93.222-10.42.0.151-80-46812-6,PCalc - The Best Calculator,49250304,1117,4,4.5,5,3.6.6,4+,Utilities,37,5,1,1,120,0
10.42.0.151-74.125.22.188-37263-5228-6,Ms. PAC-MAN,70023168,7885,40,4,4,4.0.4,4+,Games,38,0,10,1,96,0
202.77.129.230-10.42.0.151-80-47935-6,Solitaire by MobilityWare,49618944,76720,4017,4.5,4.5,4.10.1,4+,Games,38,4,11,1,96,0
192.229.173.173-10.42.0.151-80-57987-6,SCRABBLE Premium,227547136,105776,166,3.5,2.5,5.19.0,4+,Games,37,0,6,1,2801,1
10.42.0.151-119.146.74.31-39177-443-6,Google – Search made just for mobile,179979264,479440,203,3.5,4,27,17+,Utilities,37,4,33,1,60,0
10.42.0.151-10.42.0.1-13570-53-17,Bank of America - Mobile Banking,160925696,119773,2336,3.5,4.5,7.3.8,4+,Finance,37,0,2,1,254,1
222.73.28.96-10.42.0.211-80-34338-6,FreeCell,55153664,6340,668,4.5,4.5,4.0.3,4+,Games,38,5,2,1,96,0
10.42.0.42-115.239.210.141-47686-80-6,TripAdvisor Hotels Flights Restaurants,207907840,56194,87,4,3.5,21.1,4+,Travel,37,1,26,1,100,1
